user_id,faculty,role,material_title,material_type,action,action_date,duration_min,rating
U1028,ФЕП,викладач,Big Data Systems,стаття,початок,2025-11-13,5.2,4
U1029,ФКБ,студент,ML Intro,стаття,читання,2025-08-08,3.1,2
U1030,ФИС,студент,Digital Logic,відеолекція,перерва,2025-08-27,1.3,2
U1031,ФИТ,викладач,Database Design,відеолекція,пошук,2025-04-23,10.0,2
U1032,ФИТ,викладач,Algorithms and Structures,електронна книга,завершення,2025-02-02,11.8,3
U1033,ФЕН,студент,ML Intro,підручник,пошук,2025-03-25,12.5,3
U1034,ФИС,викладач,ML Intro,практикум,пошук,2025-03-23,2.5,5
U1035,ФКБ,викладач,Cybersecurity 101,відеолекція,пошук,2025-05-26,8.7,3
U1036,ФИС,студент,Database Design,відеолекція,початок,2025-09-23,9.7,4
U1037,ФЕП,викладач,Big Data Systems,практикум,початок,2025-08-31,2.4,5
U1038,ФКБ,викладач,Big Data Systems,підручник,перерва,2025-10-14,7.2,5
U1039,ФЕН,викладач,Big Data Systems,електронна книга,перерва,2025-05-05,14.2,2
U1040,ФИС,студент,Digital Logic,відеолекція,завершення,2025-05-24,3.8,3
U1041,ФИС,викладач,Python Basics,відеолекція,читання,2025-06-23,7.8,2
U1042,ФИС,студент,Cybersecurity 101,підручник,перерва,2025-08-01,7.6,2
U1043,ФИТ,студент,Digital Logic,електронна книга,пошук,2025-06-21,2.3,2
U1044,ФЕН,викладач,Database Design,відеолекція,початок,2025-07-30,4.0,2
U1045,ФЕН,викладач,Algorithms and Structures,підручник,початок,2025-03-10,12.6,4
U1046,ФЕН,викладач,ML Intro,електронна книга,перерва,2025-03-29,8.1,4
U1047,ФЕН,викладач,Big Data Systems,електронна книга,початок,2025-08-20,14.6,5
U1048,ФЕН,викладач,Cybersecurity 101,відеолекція,пошук,2025-11-01,4.6,2
U1049,ФИС,викладач,Algorithms and Structures,стаття,перерва,2025-04-13,6.1,4
U1050,ФЕП,студент,Algorithms and Structures,відеолекція,початок,2025-04-21,8.8,5
U1051,ФИТ,студент,Python Basics,підручник,початок,2025-06-10,2.6,4
U1052,ФИС,викладач,Cybersecurity 101,підручник,перерва,2025-11-20,7.1,5
U1053,ФИС,викладач,Python Basics,стаття,початок,2025-01-15,11.6,4
U1054,ФКБ,викладач,Digital Logic,електронна книга,читання,2025-08-15,2.5,5
U1055,ФЕП,викладач,Big Data Systems,відеолекція,читання,2025-07-13,5.7,2
U1056,ФИТ,викладач,Database Design,електронна книга,завершення,2025-03-15,8.0,5
U1057,ФИС,викладач,Algorithms and Structures,відеолекція,пошук,2025-07-18,11.1,5
U1058,ФКБ,студент,Data Science Guide,підручник,пошук,2025-07-16,9.2,5
U1059,ФЕП,студент,Digital Logic,підручник,читання,2025-06-13,8.1,2
U1060,ФИС,студент,Digital Logic,відеолекція,перерва,2025-05-31,9.8,5
U1061,ФИТ,студент,Big Data Systems,підручник,пошук,2025-06-27,14.2,5
U1062,ФЕН,студент,Python Basics,підручник,пошук,2025-11-07,11.2,3
U1063,ФИТ,викладач,Data Science Guide,практикум,завершення,2025-11-09,3.0,2
U1064,ФЕП,викладач,Database Design,стаття,завершення,2025-07-12,10.1,2
U1065,ФИТ,викладач,ML Intro,відеолекція,завершення,2025-08-14,8.3,4
U1066,ФЕН,викладач,Big Data Systems,практикум,читання,2025-07-27,12.1,1
U1067,ФЕП,студент,Algorithms and Structures,електронна книга,пошук,2025-08-03,2.1,4
U1068,ФИТ,студент,ML Intro,відеолекція,пошук,2025-11-08,11.5,3
U1069,ФИТ,викладач,Cybersecurity 101,електронна книга,читання,2025-10-04,2.3,1
U1070,ФЕН,студент,Cybersecurity 101,електронна книга,початок,2025-04-21,14.7,1
U1071,ФЕН,студент,Python Basics,підручник,перерва,2025-04-28,0.7,4
U1072,ФЕП,викладач,Database Design,електронна книга,початок,2025-07-16,4.8,2
U1073,ФИС,викладач,Digital Logic,підручник,пошук,2025-11-15,10.5,5
U1074,ФИС,викладач,Big Data Systems,стаття,завершення,2025-08-09,14.4,1
U1075,ФЕП,студент,Digital Logic,підручник,початок,2025-06-27,10.5,4
U1076,ФИТ,студент,Digital Logic,стаття,завершення,2025-03-06,8.6,1
U1077,ФИТ,студент,Data Science Guide,стаття,початок,2025-05-25,11.0,5
U1078,ФЕН,студент,Big Data Systems,підручник,завершення,2025-08-25,14.7,3
U1079,ФЕН,студент,Python Basics,практикум,завершення,2025-10-07,8.0,5
U1080,ФЕП,викладач,Digital Logic,відеолекція,пошук,2025-04-04,1.6,5
U1081,ФЕП,студент,Database Design,практикум,читання,2025-10-10,11.2,1
U1082,ФЕН,викладач,Digital Logic,електронна книга,читання,2025-03-19,7.8,3
U1083,ФЕН,викладач,ML Intro,відеолекція,пошук,2025-06-19,12.7,3
U1084,ФИС,викладач,Data Science Guide,електронна книга,читання,2025-03-11,14.5,4
U1085,ФЕП,студент,ML Intro,підручник,читання,2025-02-18,10.0,2
U1086,ФЕП,студент,Data Science Guide,відеолекція,завершення,2025-05-12,9.3,3
U1087,ФИТ,викладач,Python Basics,відеолекція,читання,2025-08-19,2.8,2
U1088,ФКБ,викладач,Digital Logic,підручник,перерва,2025-02-10,1.3,3
U1089,ФЕН,студент,Digital Logic,практикум,завершення,2025-03-01,5.2,1
U1090,ФИС,викладач,Data Science Guide,відеолекція,перерва,2025-07-21,1.2,3
U1091,ФКБ,студент,Data Science Guide,стаття,перерва,2025-03-04,12.8,5
U1092,ФЕН,викладач,Database Design,стаття,початок,2025-11-06,5.1,1
U1093,ФИТ,студент,Data Science Guide,практикум,завершення,2025-01-13,0.5,4
U1094,ФЕН,студент,Digital Logic,підручник,пошук,2025-07-05,6.8,5
U1095,ФЕП,викладач,Database Design,відеолекція,завершення,2025-09-30,14.8,3
U1096,ФИС,викладач,Data Science Guide,практикум,початок,2025-04-23,11.9,4
U1097,ФКБ,студент,Python Basics,відеолекція,читання,2025-02-23,7.4,5
U1098,ФЕН,студент,Algorithms and Structures,стаття,початок,2025-06-26,13.4,2
U1099,ФИТ,студент,ML Intro,стаття,початок,2025-02-22,11.0,1
U1100,ФИТ,викладач,Data Science Guide,практикум,початок,2025-06-02,9.5,4
U1101,ФИТ,викладач,Data Science Guide,відеолекція,завершення,2025-02-18,3.8,3
U1102,ФКБ,викладач,Database Design,підручник,читання,2025-07-05,12.1,2
U1103,ФКБ,викладач,Digital Logic,підручник,перерва,2025-08-24,9.0,5
U1104,ФКБ,студент,Cybersecurity 101,підручник,початок,2025-03-03,10.4,1
U1105,ФЕН,викладач,Data Science Guide,стаття,перерва,2025-01-16,13.1,1
U1106,ФИС,викладач,Python Basics,підручник,читання,2025-05-17,13.3,4
U1107,ФЕН,студент,Data Science Guide,електронна книга,читання,2025-09-12,1.5,1
U1108,ФИТ,студент,Digital Logic,електронна книга,завершення,2025-07-18,3.4,4
U1109,ФИС,викладач,Data Science Guide,підручник,початок,2025-01-10,10.3,4
U1110,ФКБ,студент,Big Data Systems,практикум,перерва,2025-01-09,13.0,4
U1111,ФЕП,студент,Data Science Guide,стаття,пошук,2025-02-08,13.3,5
U1112,ФИТ,студент,Python Basics,стаття,перерва,2025-09-02,6.5,2
U1113,ФЕП,викладач,Python Basics,електронна книга,пошук,2025-02-03,5.8,4
U1114,ФИТ,викладач,ML Intro,відеолекція,читання,2025-10-26,13.5,3
U1115,ФИС,викладач,Algorithms and Structures,підручник,початок,2025-03-29,5.5,5
U1116,ФИС,викладач,Cybersecurity 101,стаття,перерва,2025-07-17,14.1,3
U1117,ФИС,студент,Big Data Systems,відеолекція,завершення,2025-04-07,1.2,4
U1118,ФЕП,студент,Digital Logic,підручник,перерва,2025-03-13,11.0,1
U1119,ФЕН,студент,Data Science Guide,підручник,завершення,2025-02-13,11.7,2
U1120,ФИТ,викладач,ML Intro,практикум,перерва,2025-10-05,8.3,2
U1121,ФКБ,студент,Algorithms and Structures,стаття,завершення,2025-07-17,11.9,2
U1122,ФИТ,викладач,Data Science Guide,підручник,початок,2025-09-26,4.0,3
U1123,ФКБ,студент,Data Science Guide,електронна книга,початок,2025-09-18,2.9,1
U1124,ФИС,студент,Big Data Systems,електронна книга,пошук,2025-10-12,10.4,4
U1125,ФЕН,студент,Cybersecurity 101,практикум,читання,2025-02-28,11.9,1
U1126,ФКБ,викладач,Cybersecurity 101,відеолекція,завершення,2025-01-01,9.2,4
U1127,ФЕН,студент,Big Data Systems,електронна книга,початок,2025-06-02,12.0,3
U1128,ФЕП,студент,Database Design,стаття,пошук,2025-10-04,1.3,1
U1129,ФИС,студент,Algorithms and Structures,відеолекція,початок,2025-09-11,3.0,3
U1130,ФИТ,викладач,ML Intro,відеолекція,пошук,2025-10-03,10.0,4
U1131,ФИТ,викладач,Big Data Systems,практикум,початок,2025-11-11,4.3,5
U1132,ФКБ,викладач,Cybersecurity 101,практикум,пошук,2025-01-21,4.0,1
U1133,ФКБ,студент,ML Intro,практикум,початок,2025-02-02,8.0,2
U1134,ФИС,студент,Digital Logic,практикум,пошук,2025-09-07,5.3,3
U1135,ФИТ,викладач,Python Basics,підручник,початок,2025-05-20,12.6,4
U1136,ФЕП,студент,Data Science Guide,електронна книга,початок,2025-03-29,3.0,5
U1137,ФЕП,викладач,Digital Logic,практикум,пошук,2025-09-30,9.1,3
U1138,ФЕП,студент,Python Basics,стаття,пошук,2025-06-12,7.5,1
U1139,ФИС,викладач,Data Science Guide,практикум,початок,2025-11-04,9.1,4
U1140,ФКБ,студент,Cybersecurity 101,підручник,початок,2025-04-05,0.8,4
U1141,ФЕП,викладач,Digital Logic,підручник,пошук,2025-04-16,13.4,2
U1142,ФКБ,студент,Data Science Guide,відеолекція,пошук,2025-08-15,11.5,5
U1143,ФЕН,викладач,Python Basics,підручник,перерва,2025-06-01,1.1,3
U1144,ФКБ,викладач,Python Basics,відеолекція,перерва,2025-08-15,4.2,5
U1145,ФКБ,викладач,Big Data Systems,підручник,початок,2025-08-03,14.0,5
U1146,ФКБ,викладач,Cybersecurity 101,підручник,завершення,2025-09-16,7.4,1
U1147,ФИС,викладач,Data Science Guide,відеолекція,пошук,2025-03-19,2.8,4
U1148,ФЕП,викладач,Big Data Systems,стаття,пошук,2025-04-09,2.3,1
U1149,ФЕН,студент,Big Data Systems,електронна книга,завершення,2025-04-26,5.7,3
U1150,ФКБ,студент,Algorithms and Structures,підручник,завершення,2025-03-05,4.8,4
U1151,ФИС,викладач,Python Basics,практикум,завершення,2025-10-23,9.3,3
U1152,ФИТ,викладач,Database Design,практикум,завершення,2025-07-25,7.4,4
U1153,ФИС,викладач,ML Intro,практикум,читання,2025-10-02,11.7,5
U1154,ФЕП,студент,ML Intro,практикум,читання,2025-02-23,10.3,4
U1155,ФЕП,викладач,Python Basics,практикум,початок,2025-08-25,8.3,3
U1156,ФИС,викладач,Big Data Systems,електронна книга,читання,2025-05-03,8.1,3
U1157,ФИТ,викладач,Python Basics,стаття,початок,2025-11-22,8.1,2
U1158,ФЕН,викладач,Database Design,відеолекція,початок,2025-05-18,4.5,5
U1159,ФЕН,студент,Algorithms and Structures,електронна книга,пошук,2025-08-18,14.3,5
U1160,ФЕП,студент,Database Design,підручник,початок,2025-01-30,6.4,4
U1161,ФЕН,студент,Big Data Systems,відеолекція,завершення,2025-11-04,13.1,4
U1162,ФИС,студент,Digital Logic,відеолекція,пошук,2025-02-23,8.9,1
U1163,ФИС,викладач,ML Intro,електронна книга,завершення,2025-02-23,9.9,2
U1164,ФКБ,викладач,Big Data Systems,підручник,читання,2025-10-05,0.9,4
U1165,ФИС,студент,Big Data Systems,відеолекція,пошук,2025-10-26,14.5,4
U1166,ФИС,студент,Big Data Systems,стаття,перерва,2025-08-10,2.9,2
U1167,ФИТ,студент,Database Design,підручник,читання,2025-08-10,9.1,2
U1168,ФЕП,студент,Database Design,стаття,початок,2025-04-04,10.5,1
U1169,ФИТ,студент,Database Design,практикум,пошук,2025-06-14,1.3,4
U1170,ФЕП,викладач,Algorithms and Structures,підручник,пошук,2025-08-10,11.2,3
U1171,ФИТ,викладач,Python Basics,стаття,початок,2025-02-02,5.7,4
U1172,ФИС,викладач,ML Intro,підручник,початок,2025-07-31,7.0,3
U1173,ФИС,студент,Digital Logic,практикум,пошук,2025-11-19,13.1,2
U1174,ФКБ,викладач,Big Data Systems,відеолекція,перерва,2025-06-24,14.6,5
U1175,ФКБ,викладач,Python Basics,відеолекція,пошук,2025-10-04,5.9,4
U1176,ФИТ,студент,Big Data Systems,стаття,читання,2025-10-04,14.5,2
U1177,ФИТ,студент,Database Design,стаття,пошук,2025-04-18,2.1,1
U1178,ФКБ,викладач,Data Science Guide,практикум,завершення,2025-08-31,5.5,3
U1179,ФЕП,студент,Algorithms and Structures,стаття,завершення,2025-02-08,11.8,2
U1180,ФИС,викладач,Python Basics,підручник,пошук,2025-01-12,6.9,2
U1181,ФКБ,студент,Database Design,стаття,пошук,2025-10-03,8.5,1
U1182,ФЕП,викладач,Data Science Guide,практикум,читання,2025-11-04,5.4,3
U1183,ФИС,студент,Data Science Guide,стаття,читання,2025-07-13,3.1,1
U1184,ФКБ,викладач,Database Design,відеолекція,початок,2025-04-13,14.9,2
U1185,ФЕП,студент,Algorithms and Structures,стаття,читання,2025-01-27,5.8,4
U1186,ФИТ,студент,Algorithms and Structures,стаття,початок,2025-04-19,1.0,4
U1187,ФИС,викладач,Database Design,стаття,пошук,2025-07-26,10.7,1
U1188,ФКБ,студент,Database Design,підручник,читання,2025-03-02,2.5,4
U1189,ФИТ,студент,Python Basics,практикум,початок,2025-01-13,7.6,3
U1190,ФИС,студент,Python Basics,практикум,перерва,2025-09-18,2.6,1
U1191,ФИТ,студент,Algorithms and Structures,практикум,початок,2025-01-31,10.3,3
U1192,ФЕН,викладач,Big Data Systems,електронна книга,пошук,2025-05-28,11.2,5
U1193,ФИС,студент,Big Data Systems,практикум,пошук,2025-03-20,3.6,4
U1194,ФЕН,студент,Data Science Guide,підручник,читання,2025-06-26,6.6,4
U1195,ФИС,викладач,Digital Logic,практикум,перерва,2025-04-03,5.4,2
U1196,ФИТ,викладач,Data Science Guide,електронна книга,початок,2025-03-28,14.0,1
U1197,ФЕП,студент,Digital Logic,практикум,пошук,2025-04-10,13.7,1
U1198,ФКБ,студент,ML Intro,практикум,початок,2025-08-02,2.5,1
U1199,ФЕН,студент,Big Data Systems,електронна книга,пошук,2025-04-02,6.8,3
U1200,ФИТ,студент,Digital Logic,відеолекція,перерва,2025-01-22,7.6,3
U1201,ФКБ,студент,Data Science Guide,відеолекція,читання,2025-07-07,11.9,3
U1202,ФЕН,студент,Digital Logic,електронна книга,читання,2025-11-16,6.8,1
U1203,ФИТ,викладач,Algorithms and Structures,підручник,завершення,2025-03-28,11.7,2
U1204,ФКБ,студент,Digital Logic,електронна книга,початок,2025-03-06,13.7,5
U1205,ФКБ,студент,Python Basics,електронна книга,завершення,2025-07-31,9.1,1
U1206,ФИС,викладач,Database Design,електронна книга,читання,2025-09-13,9.4,4
U1207,ФИС,студент,Digital Logic,електронна книга,завершення,2025-02-26,7.5,2
U1208,ФКБ,викладач,Digital Logic,стаття,завершення,2025-06-15,4.7,1
U1209,ФЕН,викладач,Database Design,електронна книга,читання,2025-08-08,6.9,2
U1210,ФЕП,викладач,Data Science Guide,практикум,завершення,2025-03-10,4.1,4
U1211,ФЕН,викладач,Digital Logic,стаття,читання,2025-06-15,14.2,4
U1212,ФИС,викладач,Database Design,електронна книга,перерва,2025-03-07,1.0,1
U1213,ФИТ,викладач,ML Intro,підручник,завершення,2025-02-09,5.0,4
U1214,ФКБ,студент,Data Science Guide,стаття,завершення,2025-10-02,6.1,1
U1215,ФИТ,студент,Digital Logic,практикум,пошук,2025-02-23,7.4,1
U1216,ФИС,студент,ML Intro,підручник,читання,2025-02-02,8.5,5
U1217,ФКБ,викладач,Big Data Systems,підручник,читання,2025-08-31,15.0,3
U1218,ФИС,студент,ML Intro,підручник,перерва,2025-02-15,10.1,5
U1219,ФИС,викладач,Cybersecurity 101,електронна книга,завершення,2025-04-03,12.9,2
U1220,ФЕП,студент,ML Intro,практикум,читання,2025-01-02,13.0,5
U1221,ФИС,викладач,Cybersecurity 101,відеолекція,початок,2025-10-08,6.9,5
U1222,ФИС,студент,Database Design,практикум,завершення,2025-09-24,2.1,5
U1223,ФКБ,викладач,Big Data Systems,стаття,початок,2025-07-24,11.0,4
U1224,ФЕП,викладач,Cybersecurity 101,стаття,перерва,2025-11-15,9.6,2
U1225,ФИС,викладач,Digital Logic,відеолекція,початок,2025-09-14,8.9,2
U1226,ФКБ,студент,Algorithms and Structures,практикум,початок,2025-09-18,3.5,4
U1227,ФЕП,студент,Algorithms and Structures,відеолекція,завершення,2025-06-19,5.3,1
U1228,ФКБ,викладач,Cybersecurity 101,підручник,пошук,2025-10-07,6.3,2
U1229,ФЕН,студент,Big Data Systems,підручник,читання,2025-05-18,12.2,4
U1230,ФЕН,викладач,Algorithms and Structures,відеолекція,завершення,2025-01-09,1.0,3
U1231,ФИС,студент,Digital Logic,стаття,пошук,2025-10-27,6.7,5
U1232,ФИТ,студент,Cybersecurity 101,практикум,перерва,2025-11-10,4.1,3
U1233,ФИС,викладач,Database Design,стаття,читання,2025-09-02,7.1,2
U1234,ФИС,студент,Database Design,електронна книга,перерва,2025-03-04,8.8,5
U1235,ФЕП,студент,Database Design,практикум,перерва,2025-06-12,12.4,5
U1236,ФЕН,студент,Data Science Guide,підручник,початок,2025-03-28,13.3,4
U1237,ФИС,викладач,Big Data Systems,відеолекція,перерва,2025-03-07,8.8,5
U1238,ФЕН,студент,Digital Logic,електронна книга,завершення,2025-10-14,1.2,5
U1239,ФИС,студент,Algorithms and Structures,стаття,завершення,2025-07-24,4.6,4
U1240,ФЕП,студент,Algorithms and Structures,відеолекція,завершення,2025-05-14,11.1,4
U1241,ФКБ,викладач,Algorithms and Structures,відеолекція,перерва,2025-04-08,6.6,4
U1242,ФЕН,викладач,Database Design,відеолекція,пошук,2025-02-18,14.4,4
U1243,ФИС,викладач,Algorithms and Structures,стаття,початок,2025-08-11,9.8,5
U1244,ФКБ,викладач,Big Data Systems,підручник,перерва,2025-02-24,13.3,4
U1245,ФИТ,викладач,Database Design,практикум,читання,2025-02-11,14.2,4
U1246,ФЕП,студент,Big Data Systems,стаття,початок,2025-04-11,6.2,1
U1247,ФКБ,викладач,Algorithms and Structures,стаття,читання,2025-11-15,5.1,3
U1248,ФЕН,студент,Big Data Systems,практикум,читання,2025-10-08,9.6,5
U1249,ФЕН,викладач,Python Basics,підручник,читання,2025-02-22,2.4,3
U1250,ФЕН,викладач,Big Data Systems,практикум,початок,2025-07-31,11.0,5
U1251,ФКБ,студент,Digital Logic,практикум,пошук,2025-04-07,11.6,3
U1252,ФКБ,студент,Database Design,відеолекція,перерва,2025-11-04,2.9,2
U1253,ФЕН,студент,Big Data Systems,практикум,початок,2025-04-22,1.8,3
U1254,ФЕП,викладач,Data Science Guide,електронна книга,читання,2025-09-24,3.6,5
U1255,ФКБ,студент,Algorithms and Structures,електронна книга,пошук,2025-06-08,8.1,4
U1256,ФКБ,студент,Cybersecurity 101,підручник,завершення,2025-07-16,1.1,3
U1257,ФКБ,викладач,ML Intro,електронна книга,початок,2025-04-03,1.1,4
U1258,ФЕН,викладач,Data Science Guide,відеолекція,завершення,2025-09-25,14.0,1
U1259,ФЕП,викладач,Data Science Guide,електронна книга,завершення,2025-01-18,3.4,4
U1260,ФИТ,викладач,ML Intro,відеолекція,завершення,2025-01-15,6.1,3
U1261,ФИС,викладач,Digital Logic,стаття,перерва,2025-08-07,8.0,5
U1262,ФЕН,викладач,ML Intro,практикум,читання,2025-04-27,3.0,5
U1263,ФИТ,викладач,Digital Logic,стаття,перерва,2025-05-08,0.9,1
U1264,ФЕН,студент,Python Basics,стаття,завершення,2025-07-12,14.5,2
U1265,ФЕН,студент,Data Science Guide,підручник,читання,2025-10-05,10.2,2
U1266,ФЕП,студент,Big Data Systems,стаття,завершення,2025-04-26,6.3,1
U1267,ФИТ,викладач,Big Data Systems,відеолекція,пошук,2025-08-28,11.5,4
U1268,ФЕП,студент,Digital Logic,підручник,пошук,2025-08-05,3.3,3
U1269,ФЕП,студент,Python Basics,підручник,завершення,2025-05-27,0.8,4
U1270,ФЕП,викладач,Cybersecurity 101,практикум,перерва,2025-02-07,9.8,3
U1271,ФЕП,студент,Big Data Systems,відеолекція,початок,2025-06-10,2.3,1
U1272,ФЕП,студент,Algorithms and Structures,підручник,перерва,2025-03-26,1.3,3
U1273,ФКБ,студент,Algorithms and Structures,стаття,пошук,2025-11-10,2.9,3
U1274,ФЕП,студент,Algorithms and Structures,стаття,початок,2025-09-21,8.0,3
U1275,ФКБ,студент,Big Data Systems,відеолекція,читання,2025-08-02,6.7,5
U1276,ФИС,викладач,Algorithms and Structures,електронна книга,початок,2025-10-05,13.5,3
U1277,ФИТ,студент,Algorithms and Structures,підручник,читання,2025-05-27,5.3,5
U1278,ФИТ,викладач,Data Science Guide,підручник,перерва,2025-06-04,10.4,3
U1279,ФИТ,студент,Cybersecurity 101,практикум,завершення,2025-07-17,3.6,4
U1280,ФИС,студент,Database Design,відеолекція,читання,2025-08-13,6.2,3
U1281,ФЕН,викладач,Cybersecurity 101,електронна книга,перерва,2025-08-06,3.4,5
U1282,ФИС,викладач,Digital Logic,підручник,перерва,2025-01-16,2.7,2
U1283,ФКБ,студент,Python Basics,електронна книга,пошук,2025-05-19,1.6,2
U1284,ФКБ,викладач,Python Basics,практикум,початок,2025-09-13,13.5,3
U1285,ФИС,студент,Python Basics,підручник,читання,2025-02-04,1.9,5
U1286,ФКБ,студент,ML Intro,підручник,початок,2025-10-21,4.8,1
U1287,ФИС,викладач,Digital Logic,електронна книга,початок,2025-08-11,4.9,4
U1288,ФЕП,викладач,ML Intro,стаття,початок,2025-08-06,5.7,1
U1289,ФКБ,студент,ML Intro,практикум,перерва,2025-03-10,7.4,1
U1290,ФЕП,викладач,Algorithms and Structures,практикум,читання,2025-09-28,8.9,1
U1291,ФЕП,студент,Database Design,практикум,читання,2025-01-02,4.2,5
U1292,ФИС,викладач,Cybersecurity 101,електронна книга,пошук,2025-08-04,8.5,2
U1293,ФКБ,викладач,Algorithms and Structures,практикум,завершення,2025-04-30,11.1,4
U1294,ФЕП,викладач,Big Data Systems,стаття,пошук,2025-09-08,2.0,5
U1295,ФЕН,викладач,Data Science Guide,практикум,завершення,2025-11-11,11.1,3
U1296,ФИС,викладач,Data Science Guide,стаття,завершення,2025-10-08,7.7,4
U1297,ФКБ,студент,Algorithms and Structures,стаття,перерва,2025-07-29,2.7,3
U1298,ФИС,викладач,Python Basics,стаття,перерва,2025-07-07,12.2,1
U1299,ФКБ,студент,Algorithms and Structures,відеолекція,читання,2025-09-18,0.8,3
U1300,ФЕН,студент,Database Design,стаття,перерва,2025-03-04,9.9,3
U1301,ФЕН,студент,ML Intro,підручник,завершення,2025-04-17,1.5,1
U1302,ФЕН,студент,Digital Logic,підручник,перерва,2025-04-14,8.5,4
U1303,ФКБ,викладач,ML Intro,практикум,перерва,2025-05-13,2.1,3
U1304,ФКБ,викладач,Big Data Systems,практикум,завершення,2025-11-23,12.0,1
U1305,ФКБ,викладач,Algorithms and Structures,практикум,початок,2025-01-17,0.5,4
U1306,ФИТ,студент,Big Data Systems,підручник,завершення,2025-09-25,8.3,2
U1307,ФЕП,викладач,Data Science Guide,підручник,перерва,2025-09-04,11.0,3
U1308,ФИТ,викладач,Cybersecurity 101,електронна книга,перерва,2025-08-14,12.4,3
U1309,ФКБ,студент,Big Data Systems,відеолекція,завершення,2025-09-10,7.2,3
U1310,ФЕП,викладач,Digital Logic,підручник,читання,2025-05-03,9.7,2
U1311,ФКБ,студент,Big Data Systems,стаття,перерва,2025-06-18,5.5,1
U1312,ФЕП,студент,Algorithms and Structures,відеолекція,завершення,2025-02-23,1.0,3
U1313,ФЕН,студент,Python Basics,практикум,початок,2025-01-11,10.7,3
U1314,ФЕП,студент,Python Basics,відеолекція,читання,2025-03-15,13.5,5
U1315,ФЕН,студент,Data Science Guide,відеолекція,початок,2025-09-27,8.9,2
U1316,ФИТ,викладач,Database Design,практикум,пошук,2025-11-19,4.9,4
U1317,ФЕН,викладач,Cybersecurity 101,стаття,завершення,2025-02-21,11.6,1
U1318,ФКБ,студент,Algorithms and Structures,підручник,перерва,2025-08-27,14.3,3
U1319,ФЕП,викладач,Python Basics,практикум,перерва,2025-11-02,7.2,1
U1320,ФИС,студент,Algorithms and Structures,практикум,пошук,2025-06-06,6.4,3
U1321,ФЕН,викладач,Algorithms and Structures,відеолекція,початок,2025-04-28,8.2,1
U1322,ФКБ,викладач,Database Design,практикум,пошук,2025-06-04,1.7,2
U1323,ФКБ,студент,Data Science Guide,практикум,читання,2025-11-11,3.1,3
U1324,ФИТ,студент,Big Data Systems,стаття,перерва,2025-01-06,10.2,1
U1325,ФЕН,студент,Python Basics,електронна книга,перерва,2025-07-18,7.2,4
U1326,ФИС,викладач,ML Intro,стаття,початок,2025-11-21,5.6,4
U1327,ФЕН,студент,Data Science Guide,стаття,початок,2025-10-18,10.3,5
U1328,ФИС,студент,Digital Logic,практикум,читання,2025-05-09,11.3,1
U1329,ФЕП,викладач,Database Design,електронна книга,читання,2025-11-05,10.0,1
U1330,ФЕН,студент,ML Intro,електронна книга,читання,2025-02-23,9.4,3
